sheet,series_key,period,value
Chart_1,SAFE.H.U2.ALL.A.0.0.0.Q10.10A.NN.AL.WP,22Q4-Q1,86.59152
Chart_1,SAFE.H.U2.ALL.A.0.0.0.Q10.10B.NN.AL.WP,22Q4-Q1,53.09522
Chart_1,SAFE.H.U2.ALL.A.0.0.0.Q10.10C.NN.AL.WP,22Q4-Q1,13.76627
Chart_1,SAFE.H.U2.ALL.A.0.0.0.Q10.10D.NN.AL.WP,22Q4-Q1,2.7527
Chart_1,SAFE.H.U2.ALL.A.0.0.0.Q10.10E.NN.AL.WP,22Q4-Q1,19.01212
Chart_1,SAFE.H.U2.ALL.A.0.0.0.Q10.10F.NN.AL.WP,22Q4-Q1,23.92901
Chart_1,SAFE.H.U2.LAR.A.0.0.0.Q10.10A.NN.AL.WP,22Q4-Q1,91.54959
Chart_1,SAFE.H.U2.LAR.A.0.0.0.Q10.10B.NN.AL.WP,22Q4-Q1,46.66918
Chart_1,SAFE.H.U2.LAR.A.0.0.0.Q10.10C.NN.AL.WP,22Q4-Q1,16.09318
Chart_1,SAFE.H.U2.LAR.A.0.0.0.Q10.10D.NN.AL.WP,22Q4-Q1,2.725519
Chart_1,SAFE.H.U2.LAR.A.0.0.0.Q10.10E.NN.AL.WP,22Q4-Q1,16.60311
Chart_1,SAFE.H.U2.LAR.A.0.0.0.Q10.10F.NN.AL.WP,22Q4-Q1,22.31372
Chart_1,SAFE.H.U2.SME.A.0.0.0.Q10.10A.NN.AL.WP,22Q4-Q1,81.68567
Chart_1,SAFE.H.U2.SME.A.0.0.0.Q10.10B.NN.AL.WP,22Q4-Q1,59.4536
Chart_1,SAFE.H.U2.SME.A.0.0.0.Q10.10C.NN.AL.WP,22Q4-Q1,11.46387
Chart_1,SAFE.H.U2.SME.A.0.0.0.Q10.10D.NN.AL.WP,22Q4-Q1,2.779596
Chart_1,SAFE.H.U2.SME.A.0.0.0.Q10.10E.NN.AL.WP,22Q4-Q1,21.39576
Chart_1,SAFE.H.U2.SME.A.0.0.0.Q10.10F.NN.AL.WP,22Q4-Q1,25.52728
Chart_1,SAFE.H.U2.ALL.A.0.0.0.Q10.10A.NN.AL.WP,23Q2-Q3,86.09596
